data,consumidores,consumo_kw,"temperatura_do_ar___bulbo_seco,_horaria_(c)",temperatura_do_ponto_de_orvalho_(c),temperatura_maxima_na_hora_ant._(aut)_(c),temperatura_minima_na_hora_ant._(aut)_(c),temperatura_orvalho_max._na_hora_ant._(aut)_(c),temperatura_orvalho_min._na_hora_ant._(aut)_(c),temp._ins._(c),temp._max._(c),temp._min._(c)
20200601,1,"95,366",,,,,,,,,
20191101,107,"10255,532",,,,,,,,,
20210601,3,"12685,548",,,,,,,,,
20160701,8,26,,,,,,,,,
20140701,6,,,,,,,,,,
20160401,1360,2832,,,,,,,,,
20190501,32,"55,293",,,,,,,,,
20190501,2,"735,246",,,,,,,,,
20111201,108,8,,,,,,,,,
20150501,127034,3299,,,,,,,,,
20241201,125778,30663,,,,,,,,,
20160801,7,3,,,,,,,,,
20221201,70957,"10234,477",,,,,,,,,
20181101,465,"11,436",,,,,,,,,
20230101,297,"8,881",,,,,,,,,
20200401,13,"0,359",,,,,,,,,
20220901,1,"21,363",,,,,,,,,
20110901,207,1,,,,,,,,,
20230201,214,57257,,,,,,,,,
20220801,3,"3,476",,,,,,,,,
20170801,344,354,,,,,,,,,
20200901,1,,,,,,,,,,
20140101,6,677,,,,,,,,,
20230401,4,,,,,,,,,,
20170401,6,1,,,,,,,,,
20230701,937,"15622,97",,,,,,,,,
20220401,96,"2352,031",,,,,,,,,
20230201,56,"8,463",,,,,,,,,
20200401,445,"369,36",,,,,,,,,
20230801,1,"1,252",,,,,,,,,
20211101,1,"8,462",,,,,,,,,
20201001,220,"4353,043",,,,,,,,,
20160801,114,1938,,,,,,,,,
20111201,455,13017,,,,,,,,,
20141201,373,255,,,,,,,,,
20140101,12046,23408,,,,,,,,,
20190701,1,"45,92",,,,,,,,,
20141001,55,1435,,,,,,,,,
20141201,3,274,,,,,,,,,
20160201,2779,4618,,,,,,,,,
20141201,1822,2575,,,,,,,,,
20140601,249,34,,,,,,,,,
20150801,1,12576,,,,,,,,,
20130701,3653,6801,,,,,,,,,
20230501,9116,"15039,266",,,,,,,,,
20160301,24,330,,,,,,,,,
20230401,61102,"14826,086",,,,,,,,,
20241101,137,127,,,,,,,,,
20171001,22,13653,,,,,,,,,
20220601,22403,643,,,,,,,,,
20120301,235,5904,,,,,,,,,
2024/08/26,,,"25,2","8,9","27,4","25,1","9,2","7,9",,,
20210201,138,"77,524",,,,,,,,,
20180101,79,"9870,221",,,,,,,,,
20220401,9592,"632,922",,,,,,,,,
2024/04/01,,,"23,3","19,7","24,8","22,9",20,"19,2",,,
20231101,63,5071,,,,,,,,,
20200501,1129,"81,606",,,,,,,,,
20231201,59,"3,742",,,,,,,,,
20140601,2378,64,,,,,,,,,
20150601,17,3575,,,,,,,,,
20211201,1,"3,466",,,,,,,,,
20150701,10,452,,,,,,,,,
20241001,110861,26338,,,,,,,,,
2024/07/23,,,"16,1",9,"16,8","16,1","9,2","8,9",,,
2024/08/15,,,22,"13,4","22,9","21,9","13,4","12,7",,,
20120501,7,56684,,,,,,,,,
20241201,26845,3445,,,,,,,,,
2024/03/09,,,"21,2","19,2","21,2","19,6","19,5","18,6",,,
20130301,1950,66041,,,,,,,,,
20190701,2679,,,,,,,,,,
20221201,7020,"6397,66",,,,,,,,,
20140301,1,1,,,,,,,,,
20190201,236,"5543,077",,,,,,,,,
20111101,99,6,,,,,,,,,
20220301,601517,"398890,153",,,,,,,,,
20200601,419,"405,695",,,,,,,,,
20230801,15,"2096,08",,,,,,,,,
20140101,2,,,,,,,,,,
20120501,6,1731,,,,,,,,,
20191101,23,425,,,,,,,,,
20140901,942,4,,,,,,,,,
2024/04/11,,,"19,9","19,5","19,9","19,7","19,5","19,3",,,
20240501,405012,"26940,663",,,,,,,,,
20190701,3,21,,,,,,,,,
20190301,17263,"11387,611",,,,,,,,,
20150501,179,4650,,,,,,,,,
20220701,2,,,,,,,,,,
20201101,738,"200,135",,,,,,,,,
20110701,324,20211,,,,,,,,,
20151201,216,4854,,,,,,,,,
20211201,2,"49,364",,,,,,,,,
20151201,436,184,,,,,,,,,
20141201,74,20,,,,,,,,,
20180101,127,"3437,49",,,,,,,,,
20190901,190537,46230,,,,,,,,,
20130701,748,1567,,,,,,,,,
20140601,216,49,,,,,,,,,
20141101,36,1191,,,,,,,,,
20181001,1,"124,497",,,,,,,,,
20111201,1505,62558,,,,,,,,,
20211001,2,3407,,,,,,,,,
20130601,207,219094,,,,,,,,,
20111101,186,5052,,,,,,,,,
20230201,21375,"13674,652",,,,,,,,,
20211201,12,"729,033",,,,,,,,,
20241201,3313,"64576,729",,,,,,,,,
20180101,3,7,,,,,,,,,
20120501,28,2,,,,,,,,,
20230701,69890,2052,,,,,,,,,
20110801,1,,,,,,,,,,
20201001,164851,"288693,823",,,,,,,,,
20140501,543,74,,,,,,,,,
20190601,401,"222,455",,,,,,,,,
20240201,470,"32,224",,,,,,,,,
20220301,10,"9452,382",,,,,,,,,
20240701,506,"74454,507",,,,,,,,,
20120601,15900,9259,,,,,,,,,
20121001,35,96,,,,,,,,,
20160201,28,16,,,,,,,,,
20150501,2,40,,,,,,,,,
20200201,851,"46548,944",,,,,,,,,
20240801,6490,"6991,609",,,,,,,,,
20240701,37,"57,934",,,,,,,,,
20210201,19,92,,,,,,,,,
20120101,61,30,,,,,,,,,
20240801,3791,"77068,406",,,,,,,,,
20210901,1540,"1041,325",,,,,,,,,
20241201,17,"11555,766",,,,,,,,,
20140701,30,7364,,,,,,,,,
20231201,719,1164,,,,,,,,,
20160701,237,15964,,,,,,,,,
20200801,928,"34246,349",,,,,,,,,
20130601,9416,1304,,,,,,,,,
